Starting Price: $10.00
Day 1 Price: $10.71
Day 2 Price: $11.75
Day 3 Price: $11.24
Day 4 Price: $10.70
Day 5 Price: $10.48
Day 6 Price: $10.01
Day 7 Price: $10.33
Day 8 Price: $10.18
Day 9 Price: $10.54
Day 10 Price: $11.27
Day 11 Price: $12.17
Day 12 Price: $13.26
Day 13 Price: $14.22
Day 14 Price: $13.53
Day 15 Price: $13.09
Day 16 Price: $14.09
Day 17 Price: $13.84
Day 18 Price: $13.31
Day 19 Price: $14.42
Day 20 Price: $14.22
Day 21 Price: $13.54
Day 22 Price: $13.78
Day 23 Price: $13.66
Day 24 Price: $13.09
Day 25 Price: $13.09
Day 26 Price: $13.79
Day 27 Price: $15.11
Day 28 Price: $15.58
Day 29 Price: $15.49
Day 30 Price: $15.99
Day 31 Price: $17.42
Day 32 Price: $17.74
Day 33 Price: $18.24
Day 34 Price: $17.72
Day 35 Price: $17.68
Day 36 Price: $17.59
Day 37 Price: $19.32
Day 38 Price: $20.20
Day 39 Price: $21.95
Day 40 Price: $21.67
Day 41 Price: $23.67
Day 42 Price: $24.74
Day 43 Price: $23.60
Day 44 Price: $22.49
Day 45 Price: $23.84
Day 46 Price: $23.73
Day 47 Price: $23.96
Day 48 Price: $25.03
Day 49 Price: $25.70
Day 50 Price: $27.50
Day 51 Price: $29.92
Day 52 Price: $32.80
Day 53 Price: $31.46
Day 54 Price: $30.64
Day 55 Price: $33.64
Day 56 Price: $32.47
Day 57 Price: $33.00
Day 58 Price: $32.53
Day 59 Price: $32.52
Day 60 Price: $33.57
Day 61 Price: $36.01
Day 62 Price: $36.93
Day 63 Price: $35.73
Day 64 Price: $37.53
Day 65 Price: $36.65
Day 66 Price: $35.63
Day 67 Price: $39.08
Day 68 Price: $37.54
Day 69 Price: $36.83
Day 70 Price: $35.74
Day 71 Price: $34.54
Day 72 Price: $32.93
Day 73 Price: $34.55
Day 74 Price: $32.96
Day 75 Price: $36.08
Day 76 Price: $37.50
Day 77 Price: $41.06
Day 78 Price: $41.69
Day 79 Price: $44.97
Day 80 Price: $45.76
Day 81 Price: $50.32
Day 82 Price: $54.44
Day 83 Price: $59.45
Day 84 Price: $58.61
Day 85 Price: $61.19
Day 86 Price: $63.24
Day 87 Price: $62.07
Day 88 Price: $64.42
Day 89 Price: $70.35
Day 90 Price: $73.50
Day 91 Price: $73.63
Day 92 Price: $80.85
Day 93 Price: $87.98
Day 94 Price: $94.78
Day 95 Price: $98.10
Day 96 Price: $93.31
Day 97 Price: $101.28
Day 98 Price: $97.53
Day 99 Price: $94.38
Day 100 Price: $93.07
Day 101 Price: $88.83
Day 102 Price: $86.73
Day 103 Price: $83.21
Day 104 Price: $84.78
Day 105 Price: $88.31
Day 106 Price: $94.14
Day 107 Price: $94.66
Day 108 Price: $93.31
